Size,Article
101383,-
147801,2008_United_States_men's_Olympic_basketball_team
1298839,2018_FIFA_World_Cup
969996,2019_United_Kingdom_general_election
1560390,2020_United_States_presidential_election
773714,2022
550548,2022_Atlantic_hurricane_season
176372,2022_Ballon_d'Or
842406,2022_Brazilian_general_election
795287,2022_FIFA_World_Cup
536318,2022_FIVB_Volleyball_Women's_World_Championship
735190,2022_Formula_One_World_Championship
520104,2022_ICC_Men's_T20_World_Cup
1479572,2022_Russian_invasion_of_Ukraine
571851,2022_United_States_elections
400955,2022_in_film
390741,2022–23_Premier_League
520113,2022–23_UEFA_Champions_League
738945,2023_AFC_U-17_Asian_Cup_qualification
83653,2023_Cricket_World_Cup
239004,2026_FIFA_World_Cup
93388,20th_Century_Girl
610317,50_Cent
494732,AC_Omonia
406628,A_Certain_Magical_Index
78497,A_Friend_of_the_Family_(TV_series)
546147,A_Song_of_Ice_and_Fire
410194,Aaron_Judge
982738,Aaron_Rodgers
969067,Abraham_Lincoln
308860,Adam_Sandler
106959,Adipurush
871135,Adolf_Hitler
1139949,Afghanistan
125093,Aishwarya_Lekshmi
596606,Aishwarya_Rai_Bachchan
99059,Akshata_Murty
301314,Alan_Rickman
828206,Albert_Einstein
365478,Alec_Baldwin
599830,Alex_Jones
247183,Alexander_Volkanovski
926396,Alexander_the_Great
173374,Alexandra_Daddario
360518,Alia_Bhatt
149477,All_Quiet_on_the_Western_Front
87057,All_Quiet_on_the_Western_Front_(2022_film)
200980,Amal_Clooney
498464,Amazon_(company)
882172,American_Civil_War
633115,American_Horror_Story
143775,American_Horror_Story:_NYC
250844,American_Psycho_(film)
677097,Amitabh_Bachchan
66215,Amouranth
163038,Amsterdam_(2022_film)
263311,Ana_de_Armas
379862,Anderson_Silva
344903,Andor_(TV_series)
268694,Andrew_Tate
1012577,Android_(operating_system)
630598,Angela_Lansbury
774656,Angelina_Jolie
601440,Animal
248564,Anna_Nicole_Smith
215348,Anna_Sorokin
562892,"Anne,_Princess_Royal"
627321,Anne_Hathaway
513339,Anne_Heche
233130,Annie_Ernaux
391098,Ansel_Adams
303329,Ant-Man_and_the_Wasp:_Quantumania
694584,Antisemitism
210005,"Antony_Armstrong-Jones,_1st_Earl_of_Snowdon"
256991,Anya_Taylor-Joy
1129825,Apple_Inc.
117219,Apple_Network_Server
907940,Ariana_Grande
327487,Armie_Hammer
785283,Arnold_Schwarzenegger
801087,Arsenal_F.C.
177641,Arshad_Sharif
85291,Art_the_Clown
356364,Arthur_Miller
841251,Artificial_intelligence
